Country,2019 Crude Oil Barrel production/day,2017 Crude Oil Barrel production/day/million people
World,80622000,10798
United States,15043000,35922
Saudi Arabia ,12000000,324866
Russia,10800000,73292
Iraq ,4451516,119664
Iran ,3990956,49714
China,3980650,2836
Canada,3662694,100931
United Arab Emirates ,3106077,335103
Kuwait ,2923825,721575
Brazil,2515459,12113
Venezuela ,2276967,69914
Mexico,2186877,17142
Nigeria ,1999885,10752
Angola ,1769615,61417
Norway,1647975,313661
Kazakhstan,1595199,88686
Qatar,1522902,500000
Algeria ,1348361,33205
Oman,1006841,217178
Libya ,1003000,159383
United Kingdom,939760,14284
Colombia,897784,18452
Indonesia,833667,3192
Azerbaijan,833538,85710
India,715459,554
Malaysia,661240,21202
Ecuador ,548421,33470
Argentina,510560,11644
Romania,504000,25469
Egypt,490000,5166
"Congo, Republic of the ",308363,60168
Vietnam,301850,3194
Australia,289749,12010
Thailand,257525,3667
Sudan and South Sudan,255000,4932
Turkmenistan,230779,40759
Equatorial Guinea ,227000,125068
Gabon ,210820,106528
Denmark,140637,24369
Chad,110156,7393
Brunei,109117,257959
Ghana,100549,3564
Cameroon,93205,3983
Pakistan,80000,400
Italy,70675,1189
Timor-Leste,60661,47839
Trinidad and Tobago,60090,44054
Bolivia,58077,5334
Papua New Guinea,56667,7013
Uzbekistan,52913,1682
Bahrain,50000,36000
Cuba,50000,4357
Turkey,49497,622
Tunisia,48757,4275
Germany,46839,571
Peru,40266,1267
New Zealand,35574,7633
Ukraine,31989,720
Ivory Coast,30000,1265
Syria,30000,1627
Belarus,25000,2637
Mongolia,23426,7739
Albania,22915,7901
Yemen,22000,797
Poland,20104,525
"Congo, Democratic Republic of the",20000,254
Philippines,20000,193
Serbia,20000,2272
Netherlands,18087,1070
Suriname,17000,30465
France,16418,253
Austria,15161,1742
Myanmar,15000,284
Hungary,13833,1426
Croatia,13582,3223
Niger,13000,631
Guatemala,8977,544
Mauritania,5000,1162
Chile,4423,247
Bangladesh,4189,25
Japan,3918,30
Greece,3172,285
Spain,2667,57
Czech Republic,2333,220
Belize,2000,5464
Lithuania,2000,689
South Africa,2000,35
Barbados,1000,3521
Bulgaria,1000,140
Kyrgyzstan,1000,169
Georgia,400,102
Israel,390,47
Slovakia,200,37
Taiwan,196,8
Tajikistan,180,20
Morocco,160,4
