 ,Country,2017,2018,2019,Change 19/18,2Q19,3Q19,4Q19,1Q20,Feb20,Mar20,Change Mar/Feb
,World rig count,,,,,,,,,,,
,US,874.75,1031.3333333333333,943.5,-87.83333333333326,989.6666666666666,920,819,784.3333333333334,790,771,-19
,Canada,206.58333333333334,191.16666666666666,134.41666666666666,-56.75,83,131,138.33333333333334,195.66666666666666,249,133,-116
,Mexico,17.416666666666668,26.583333333333332,36.5,9.916666666666668,33.666666666666664,38,48,45.666666666666664,49,42,-7
,OECD Americas,1098.75,1249.0833333333333,1114.4166666666667,-134.66666666666652,1106.3333333333333,1089,1005.3333333333334,1025.6666666666667,1088,946,-142
,Norway,14.75,15,17,2,16.666666666666668,18.333333333333332,17.666666666666668,16.333333333333332,17,14,-3
,UK,8.75,7.166666666666667,14.583333333333334,7.416666666666667,15.666666666666666,16.333333333333332,13.333333333333334,7.666666666666667,7,6,-1
,OECD Europe,91.91666666666667,85.33333333333333,148.5,63.16666666666667,159,189.66666666666666,153.66666666666666,128.66666666666666,130,123,-7
,OECD Asia Pacific,15.333333333333334,20.583333333333332,28.583333333333332,8,29.333333333333332,31.333333333333332,30,29.666666666666668,29,32,3
,Total OECD,1206,1355,1291.5,-63.5,1294.6666666666667,1310,1189,1184,1247,1101,-146
,Other Asia*,207.91666666666666,222,221.41666666666666,-0.5833333333333428,225,216.66666666666666,211.66666666666666,214,213,218,5
,Latin America,118.58333333333333,131,129.25,-1.75,129.66666666666666,131.66666666666666,119,106.66666666666667,110,102,-8
,Middle East,68.16666666666667,64.66666666666667,68.08333333333333,3.416666666666657,69.33333333333333,67.33333333333333,69.33333333333333,69.33333333333333,69,70,1
,Africa,37.75,44.583333333333336,55.333333333333336,10.75,52.666666666666664,51,62.666666666666664,60.666666666666664,60,59,-1
,Total DCs,432.4166666666667,462.25,474.0833333333333,11.833333333333314,476.6666666666667,466.6666666666667,462.6666666666667,450.6666666666667,452,449,-3
,Non-OPEC rig count,1638.4166666666667,1817.25,1765.5833333333333,-51.66666666666674,1771.3333333333333,1776.6666666666667,1651.6666666666667,1634.6666666666667,1699,1550,-149
,Algeria,53.5,49.833333333333336,44.916666666666664,-4.916666666666671,49.333333333333336,42.333333333333336,41.333333333333336,37.666666666666664,38,34,-4
,Angola,2.75,3.6666666666666665,4.416666666666667,0.7500000000000004,5,4.333333333333333,3.3333333333333335,6,6,6,0
,Congo,1.75,3.1666666666666665,3.1666666666666665,0,4,3,2,2,2,2,0
,Equatorial Guinea**,1,1,2,1,2,2,2,2,2,2,0
,Gabon,0.9166666666666666,3.4166666666666665,7.166666666666667,3.7500000000000004,6.333333333333333,6.666666666666667,8.666666666666666,8.666666666666666,9,8,-1
,Iran**,155.5,157,157,0,157,157,157,157,157,157,0
,Iraq,49.166666666666664,59.333333333333336,73.58333333333333,14.249999999999993,75,77,77,74.33333333333333,72,74,2
,Kuwait,53.666666666666664,50.666666666666664,45.583333333333336,-5.083333333333329,44.333333333333336,46.333333333333336,48,52.666666666666664,55,50,-5
,Libya,1,4.583333333333333,14.416666666666666,9.833333333333332,15,15.666666666666666,16,14.333333333333334,16,11,-5
,Nigeria,8.5,13.25,15.583333333333334,2.333333333333334,14,15.666666666666666,18.333333333333332,19.333333333333332,23,21,-2
,Saudi Arabia,118.16666666666667,116.91666666666667,115,-1.9166666666666714,115,117.66666666666667,109.33333333333333,113,114,114,0
,UAE,51.666666666666664,55.166666666666664,62.083333333333336,6.916666666666671,59.333333333333336,64.33333333333333,66.66666666666667,66.33333333333333,65,68,3
,Venezuela,49.083333333333336,32.333333333333336,24.5,-7.833333333333336,22.666666666666668,25,25,25,25,25,0
,OPEC rig count,546.6666666666666,550.3333333333334,569.4166666666666,19.083333333333258,569,577,574.6666666666666,578.3333333333334,584,572,-12
,,,,,,,,,,,,
,World rig count***,2185.0833333333335,2367.5833333333335,2335,-32.583333333333485,2340.3333333333335,2353.6666666666665,2226.3333333333335,2213,2283,2122,-161
,of which:,,,,,,,,,,,
,Oil,1677.5833333333333,1886.3333333333333,1840.0833333333333,-46.25,1829,1835.3333333333333,1758,1748.3333333333333,1808,1677,-131
,Gas,465.5,448.3333333333333,463.5833333333333,15.25,482.3333333333333,486,430.6666666666667,411,420,381,-39
,Others,42,32.916666666666664,31.333333333333332,-1.5833333333333321,29,32.333333333333336,37.666666666666664,53.666666666666664,55,64,9
,Note: * Other Asia includes Indonesia.,,,,,,,,,,,
,** Estimated data when Baker Hughes Incorporated did not report the data.,,,,,,,,,,,
,*** Data excludes China and FSU.,,,,,,,,,,,
,Totals may not add up due to independent rounding.,,,,,,,,,,,
,Sources: Baker Hughes and OPEC.,,,,,,,,,,,
